,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
38,Nectarina,89.9,Elote Blanco Entero Limpio,22.4,Crema Acida,13.85,Menudencias Pollo Selecto,15.9,Chicharos Con Zanahoria,8.23
39,Manzana Rallada,32.4,Portabella Entero,63.6,Crema Acida Premium,60.5,Molida Sirloin 95/5 Res Selecta,200.0,Ensalada De Verduras,7.9
40,Mamey,40.9,Elote Blanco En Trozos,22.4,Huevo Blanco,65.5,Milanesa De Bola Res Selecta,187.0,Ensalada De Verduras,11.2
41,Uva Red Globo,89.9,Tomatoes Cherubs,41.9,Huevo Blanco,42.0,Milanesa De Centro Res Selecta,196.0,Granos De Elote Dorado,7.9
42,Higo 4639 1,78.1,Ajo Shallot,39.8,Huevo Blanco,27.5,Bistec Para Asar Res Selecta,169.3,Granos De Elote Dorado,11.0
43,Lima,37.8,Zanahoria Cambray,22.8,Huevo Blanco,39.5,Deshebrada Res Selecta,159.9,Chicharos,8.5
44,Uva Roja Sin Semilla,89.9,Chayote Con Espinas,37.3,Huevo Blanco,27.3,Molida Selecta 80/20 Res Selecta,159.9,Champiñones En Trocitos,31.35
45,Durazno Melocoton,99.5,Pepino Europeo,14.4,Huevo Blanco,59.0,Fajita De Centro Res Selecta,198.0,Mezcla Elote Con Poblano,14.0
46,Ciruela Moscatel,78.1,Cebolla Amarilla,27.6,Huevo Blanco,77.07,Chambarete Sin Hueso Res Selecta,155.0,Chicharos Con Zanahorias,13.57
47,Zapote Negro,30.3,Tomatoes Glorys,41.9,Huevo Blanco,49.1,Bistec De Diezmillo Res Selecta,170.4,Ensalada Campesina,11.4
48,Pera Red De Anjou,74.9,Chalot,164.2,Huevo Blanco,69.0,Chambarete Con Hueso Res Selecta,104.9,Chicharos Con Zanahorias,7.17
49,Pera Asiatica,71.6,Haba Verde,52.2,Huevo Blanco,43.6,Bistec De Aguayon Res Selecta,198.0,Arroz Gohan Blanco,204.0
50,Jicama Cambray,17.2,Ajo Italiano,203.0,Huevo Blanco,75.23,Carne Para Asar Res Selecta,175.0,Cebolla En Vinagre,59.4
51,Chicozapote,71.6,Camote Achicalado,87.0,Huevo Blanco,69.0,Tampiqueña De Filete Res Selecta,459.0,Arroz Con Granos Ancestrales,230.0
52,Ciruela Nubiana,99.5,Papa Criolla,25.8,Huevo Blanco,34.7,Molida Mixta Res Mixto,125.0,Corazones De Alcachofa,323.0
53,Piña,31.3,Chile Cristal,59.7,Huevo Blanco,29.0,Medallon De Filete Res Selecta,459.0,Champiñones Rebanados,33.4
54,Higo Black Mission,89.9,Champiñon Blanco,91.0,Alimento Liquido Uht Almendra 0 Azucar,42.5,Milanesa De Contra Res Selecta,176.6,Granos De Elote Sazonado,11.5
55,Uva Negra Sin Semilla 4639 1,99.5,Chile Manzano,77.6,Alimento Liquido Uht Almendra,42.5,Bistec Ranchero Res Selecta,176.6,Chicharos Con Zanahorias,14.5
56,Maracuya,49.7,Chicharo Limpio,104.9,Alimento Liquido Uht Almendra 0 Azucar,42.5,Pulpa Para Estofado Res Selecta,171.0,Mole Actopan Polvo,53.5
57,Platano Morado,31.0,Chayote Cambray,37.3,Alimento Liquido Uht Almendra,42.5,Rib Eye Res Selecta,335.0,Mole Dulce Polvo Atocpan,53.5
58,Limon Real,41.0,Chicharo Chino,37.1,Alimento Liquido Uht Coco,34.3,Pulpa Fina Res Selecta,171.0,Mezcla Elote Con Pimiento,14.0
59,Coco De Agua,19.4,Ajo Pelado,73.5,Alimento Liquido Uht Soya Light,27.05,Molida Ternera Selecta,261.0,Mole Don Pancho Apinonado 500 Gr,99.0
60,Manzana Ambrosia,56.9,Tomatoes Constellation,79.9,Alimento Liquido Uht Almendra,49.0,Milanesa De Bola Ternera Selecta,276.0,Champiñones Enteros,17.5
61,Carambolo,66.1,Xoconoxtle,37.8,Alimento Liquido Uht Coco 0 Azucar,31.0,Fajita Ternera Selecta,276.0,Champiñones En Trocitos,13.7
62,Guanabana,75.1,Nabo,37.9,Alimento Liquido Uht Almendra Vita,40.1,Filete Ternera Selecta,503.0,Champiñones En Salsa Morita,19.9
63,Manzana Fuji,69.9,Azafran,33.4,Alimento Liquido Uht Almendra 0 Azucar Nature'S Heart,40.4,Bistec De Aguayon Ternera Selecta,266.0,Champiñones En Trozos,16.0
64,Kiwi Dorado,94.0,Chile Cuaresmeño,9.5,Alimento Liquido Uht Soya,27.05,Chambarete Con Hueso Ternera Selecta,134.0,Ensalada De Verduras Sazonada,10.0
65,Granada Roja Extra,106.0,Chilacayote,71.6,Alimento Liquido Uht Almendra,42.3,Deshebrada Ternera Selecta,251.0,Champiñones En Escabeche,18.9
66,Chabacano,197.0,Yuca,33.4,Alimento Liquido Uht Almendra Sin Gluten,9.0,Tampiqueña Ternera Selecta,195.0,Champiñones En Salsa Pasilla,19.9
67,Naranja Mineola,53.9,Aguacate Criollo,67.2,Alimento Liquido Uht Coco Vita,39.35,Cubitos Ternera Selecta,218.0,Maiz Blanco,45.0
68,Chirimoya,83.6,Cebolla Blanca,32.4,Alimento Liquido Uht Soya 0 Azucar,49.0,Chambarete Sin Hueso Ternera Selecta,187.0,Champiñones Rebanados,13.3
69,Sandia Charleston,11.9,Chicharo Chino,116.0,Alimento Liquido Uht Soya 0 Azucar,36.5,Rib Eye Ternera Selecta,357.0,Ensalada De Legumbres,11.5
70,Granada China,116.9,Jitomate,45.9,Alimento Liquido Uht Almendra Nature'S Heart,40.5,Bistec De Espaldilla Ternera Selecta,184.0,Mole Picoso Polvo .5 Kg,68.0
